book,lex,sp,vs,vt,ctyp,ptyp,gloss
1_Chronicles,אדם,nmpr,,,NmCl,PrNP,Adam
1_Chronicles,שׁת,nmpr,,,,,Seth
1_Chronicles,אנושׁ,nmpr,,,,,Enosh
1_Chronicles,קינן,nmpr,,,NmCl,PrNP,Kenan
1_Chronicles,מהללאל,nmpr,,,,,Mahalalel
1_Chronicles,ירד,nmpr,,,,,Jered
1_Chronicles,חנוך,nmpr,,,NmCl,PrNP,Henoch
1_Chronicles,מתושׁלח,nmpr,,,,,Methuselah
1_Chronicles,למך,nmpr,,,,,Lamech
1_Chronicles,נח,nmpr,,,NmCl,PrNP,Noah
1_Chronicles,שׁם,nmpr,,,,,Shem
1_Chronicles,חם,nmpr,,,,,Ham
1_Chronicles,ו,conj,,,,,and
1_Chronicles,יפת,nmpr,,,,,Japheth
1_Chronicles,בן,subs,,,NmCl,NP,son
1_Chronicles,יפת,nmpr,,,,,Japheth
1_Chronicles,גמר,nmpr,,,,PrNP,Gomer
1_Chronicles,ו,conj,,,,,and
1_Chronicles,מגוג,nmpr,,,,,Magog
1_Chronicles,ו,conj,,,,,and
1_Chronicles,מדי,nmpr,,,,,Media
1_Chronicles,ו,conj,,,,,and
1_Chronicles,יון,nmpr,,,,,Greece
1_Chronicles,ו,conj,,,,,and
1_Chronicles,תבל,nmpr,,,,,Tubal
1_Chronicles,ו,conj,,,,,and
1_Chronicles,משׁך,nmpr,,,,,Meshech
1_Chronicles,ו,conj,,,,,and
1_Chronicles,תירס,nmpr,,,,,Tiras
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,בן,subs,,,,NP,son
1_Chronicles,גמר,nmpr,,,,,Gomer
1_Chronicles,אשׁכנז,nmpr,,,,PrNP,Ashkenaz
1_Chronicles,ו,conj,,,,,and
1_Chronicles,דיפת,nmpr,,,,,Riphath
1_Chronicles,ו,conj,,,,,and
1_Chronicles,תוגרמה,nmpr,,,,,Togarmah
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,בן,subs,,,,NP,son
1_Chronicles,יון,nmpr,,,,,Greece
1_Chronicles,אלישׁה,nmpr,,,,PrNP,Elishah
1_Chronicles,ו,conj,,,,,and
1_Chronicles,תרשׁישׁ,nmpr,,,,,Tarshish
1_Chronicles,כתי,adjv,,,,,Cypriot
1_Chronicles,ו,conj,,,,,and
1_Chronicles,רודני,adjv,,,,,Rhodian
1_Chronicles,בן,subs,,,NmCl,NP,son
1_Chronicles,חם,nmpr,,,,,Ham
1_Chronicles,כושׁ,nmpr,,,,PrNP,Cush
1_Chronicles,ו,conj,,,,,and
1_Chronicles,מצרים,nmpr,,,,,Egypt
1_Chronicles,פוט,nmpr,,,,,Put
1_Chronicles,ו,conj,,,,,and
1_Chronicles,כנען,nmpr,,,,,Canaan
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,בן,subs,,,,NP,son
1_Chronicles,כושׁ,nmpr,,,,,Cush
1_Chronicles,סבא,nmpr,,,,PrNP,Seba
1_Chronicles,ו,conj,,,,,and
1_Chronicles,חוילה,nmpr,,,,,Havilah
1_Chronicles,ו,conj,,,,,and
1_Chronicles,סבתא,nmpr,,,,,Sabta
1_Chronicles,ו,conj,,,,,and
1_Chronicles,רעמה,nmpr,,,,,Raamah
1_Chronicles,ו,conj,,,,,and
1_Chronicles,סבתכא,nmpr,,,,,Sabteca
1_Chronicles,ו,conj,,,NmCl,CP,and
1_Chronicles,בן,subs,,,,NP,son
1_Chronicles,רעמה,nmpr,,,,,Raamah
1_Chronicles,שׁבא,nmpr,,,,PrNP,Sheba
1_Chronicles,ו,conj,,,,,and
1_Chronicles,דדן,nmpr,,,,,Dedan
1_Chronicles,ו,conj,,,WXQt,CP,and
1_Chronicles,כושׁ,nmpr,,,,PrNP,Cush
1_Chronicles,ילד,verb,qal,perf,,VP,bear
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,נמרד,nmpr,,,,,Nimrod
1_Chronicles,הוא,prps,,,XQtl,PPrP,he
1_Chronicles,חלל,verb,hif,perf,,VP,defile
1_Chronicles,ל,prep,,,InfC,VP,to
1_Chronicles,היה,verb,qal,infc,,,be
1_Chronicles,גבור,subs,,,,NP,vigorous
1_Chronicles,ב,prep,,,,PP,in
1_Chronicles,ה,art,,,,,the
1_Chronicles,ארץ,subs,,,,,earth
1_Chronicles,ו,conj,,,WXQt,CP,and
1_Chronicles,מצרים,nmpr,,,,PrNP,Egypt
1_Chronicles,ילד,verb,qal,perf,,VP,bear
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,לודים,nmpr,,,,,Ludites
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ענמים,nmpr,,,,,Anamites
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,להבים,nmpr,,,,,Lehabites
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,נפתחים,nmpr,,,,,Naphtuhites
1_Chronicles,ו,conj,,,Ellp,CP,and
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,פתרסים,nmpr,,,,,Pathrusites
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,כסלחים,nmpr,,,,,Casluhites
1_Chronicles,אשׁר,conj,,,xQtX,CP,<relative>
1_Chronicles,יצא,verb,qal,perf,,VP,go out
1_Chronicles,מן,prep,,,,PP,from
1_Chronicles,שׁם,advb,,,,,there
1_Chronicles,פלשׁתי,adjv,,,,NP,Philistine
1_Chronicles,ו,conj,,,Ellp,CP,and
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,כפתרי,adjv,,,,,Caphtorite
1_Chronicles,ו,conj,,,WXQt,CP,and
1_Chronicles,כנען,nmpr,,,,PrNP,Canaan
1_Chronicles,ילד,verb,qal,perf,,VP,bear
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,צידון,nmpr,,,,,Sidon
1_Chronicles,בכר,subs,,,,,first-born
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,חת,nmpr,,,,,Heth
1_Chronicles,ו,conj,,,Ellp,CP,and
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,יבוסי,adjv,,,,,Jebusite
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,אמרי,adjv,,,,,Amorite
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,גרגשׁי,adjv,,,,,Girgashite
1_Chronicles,ו,conj,,,Ellp,CP,and
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,חוי,adjv,,,,,Hivite
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,ערקי,adjv,,,,,Arkite
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,סיני,adjv,,,,,Sinite
1_Chronicles,ו,conj,,,Ellp,CP,and
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,ארודי,adjv,,,,,Arvadite
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,צמרי,adjv,,,,,Zemarite
1_Chronicles,ו,conj,,,,,and
1_Chronicles,את,prep,,,,,<object marker>
1_Chronicles,ה,art,,,,,the
1_Chronicles,חמתי,adjv,,,,,Hamathite
1_Chronicles,בן,subs,,,NmCl,NP,son
1_Chronicles,שׁם,nmpr,,,,,Shem
1_Chronicles,עילם,nmpr,,,,PrNP,Elam
1_Chronicles,ו,conj,,,,,and
1_Chronicles,אשׁור,nmpr,,,,,Asshur
1_Chronicles,ו,conj,,,,,and
1_Chronicles,ארפכשׁד,nmpr,,,,,Arpachshad
1_Chronicles,ו,conj,,,,,and
1_Chronicles,לוד,nmpr,,,,,Lud
1_Chronicles,ו,conj,,,,,and
1_Chronicles,ארם,nmpr,,,,,Aram
1_Chronicles,ו,conj,,,,,and
1_Chronicles,עוץ,nmpr,,,,,Uz
1_Chronicles,ו,conj,,,,,and
1_Chronicles,חול,nmpr,,,,,Hul
1_Chronicles,ו,conj,,,,,and
1_Chronicles,גתר,nmpr,,,,,Gether
1_Chronicles,ו,conj,,,,,and
1_Chronicles,משׁך,nmpr,,,,,Meshech
1_Chronicles,ו,conj,,,WXQt,CP,and
1_Chronicles,ארפכשׁד,nmpr,,,,PrNP,Arpachshad
1_Chronicles,ילד,verb,qal,perf,,VP,bear
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,שׁלח,nmpr,,,,,Shelah
1_Chronicles,ו,conj,,,WXQt,CP,and
1_Chronicles,שׁלח,nmpr,,,,PrNP,Shelah
1_Chronicles,ילד,verb,qal,perf,,VP,bear
1_Chronicles,את,prep,,,,PP,<object marker>
1_Chronicles,עבר,nmpr,,,,,Eber
1_Chronicles,ו,conj,,,WxQX,CP,and
1_Chronicles,ל,prep,,,,PP,to
1_Chronicles,עבר,nmpr,,,,,Eber
1_Chronicles,ילד,verb,pual,perf,,VP,bear
1_Chronicles,שׁנים,subs,,,,NP,two
1_Chronicles,בן,subs,,,,,son
1_Chronicles,שׁם,subs,,,NmCl,NP,name
1_Chronicles,ה,art,,,,,the
1_Chronicles,אחד,subs,,,,,one
