book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_Kings,ו,conj,,,WayX,CP,and
2_Kings,פשׁע,verb,qal,wayq,,VP,rebel
2_Kings,מואב,nmpr,,,,PrNP,Moab
2_Kings,ב,prep,,,,PP,in
2_Kings,ישׂראל,nmpr,,,,,Israel
2_Kings,אחר,subs,,,,PP,after
2_Kings,מות,subs,,,,,death
2_Kings,אחאב,nmpr,,,,,Ahab
2_Kings,ו,conj,,,WayX,CP,and
2_Kings,נפל,verb,qal,wayq,,VP,fall
2_Kings,אחזיה,nmpr,,,,PrNP,Ahaziah
2_Kings,בעד,subs,,,,PP,distance
2_Kings,ה,art,,,,,the
2_Kings,שׂבכה,subs,,,,,net
2_Kings,ב,prep,,,,,in
2_Kings,עליה,subs,,,,,upper room
2_Kings,אשׁר,conj,,,NmCl,CP,<relative>
2_Kings,ב,prep,,,,PP,in
2_Kings,שׁמרון,nmpr,,,,,Samaria
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,חלה,verb,qal,wayq,,VP,become weak
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,שׁלח,verb,qal,wayq,,VP,send
2_Kings,מלאך,subs,,,,NP,messenger
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,אמר,verb,qal,wayq,,VP,say
2_Kings,אל,prep,,,,PP,to
2_Kings,הלך,verb,qal,impv,ZIm0,VP,walk
2_Kings,דרשׁ,verb,qal,impv,ZIm0,VP,inquire
2_Kings,ב,prep,,,,PP,in
2_Kings,בעל,subs,,,,,"lord, baal"
2_Kings,זבוב,subs,,,,,fly
2_Kings,אלהים,subs,,,,,god(s)
2_Kings,עקרון,nmpr,,,,,Ekron
2_Kings,אם,conj,,,xYq0,CP,if
2_Kings,חיה,verb,qal,impf,,VP,be alive
2_Kings,מן,prep,,,,PP,from
2_Kings,חלי,subs,,,,,sickness
2_Kings,זה,prde,,,,,this
2_Kings,ו,conj,,,WXQt,CP,and
2_Kings,מלאך,subs,,,,NP,messenger
2_Kings,יהוה,nmpr,,,,,YHWH
2_Kings,דבר,verb,piel,perf,,VP,speak
2_Kings,אל,prep,,,,PP,to
2_Kings,אליה,nmpr,,,,,Elijah
2_Kings,ה,art,,,,,the
2_Kings,תשׁבי,adjv,,,,,Tishbite
2_Kings,קום,verb,qal,impv,ZIm0,VP,arise
2_Kings,עלה,verb,qal,impv,ZIm0,VP,ascend
2_Kings,ל,prep,,,InfC,VP,to
2_Kings,קרא,verb,qal,infc,,,encounter
2_Kings,מלאך,subs,,,,NP,messenger
2_Kings,מלך,subs,,,,,king
2_Kings,שׁמרון,nmpr,,,,,Samaria
2_Kings,ו,conj,,,WIm0,CP,and
2_Kings,דבר,verb,piel,impv,,VP,speak
2_Kings,אל,prep,,,,PP,to
2_Kings,ה,inrg,,,NmCl,InrP,<interrogative>
2_Kings,מן,prep,,,,CP,from
2_Kings,בלי,subs,,,,,destruction
2_Kings,אין,subs,,,,NegP,<NEG>
2_Kings,אלהים,subs,,,,NP,god(s)
2_Kings,ב,prep,,,,PP,in
2_Kings,ישׂראל,nmpr,,,,,Israel
2_Kings,אתם,prps,,,Ptcp,PPrP,you
2_Kings,הלך,verb,qal,ptca,,VP,walk
2_Kings,ל,prep,,,InfC,VP,to
2_Kings,דרשׁ,verb,qal,infc,,,inquire
2_Kings,ב,prep,,,,PP,in
2_Kings,בעל,subs,,,,,"lord, baal"
2_Kings,זבוב,subs,,,,,fly
2_Kings,אלהים,subs,,,,,god(s)
2_Kings,עקרון,nmpr,,,,,Ekron
2_Kings,ו,conj,,,MSyn,CP,and
2_Kings,לכן,advb,,,,AdvP,therefore
2_Kings,כה,advb,,,xQtX,AdvP,thus
2_Kings,אמר,verb,qal,perf,,VP,say
2_Kings,יהוה,nmpr,,,,PrNP,YHWH
2_Kings,ה,art,,,CPen,NP,the
2_Kings,מטה,subs,,,,,couch
2_Kings,אשׁר,conj,,,xQt0,CP,<relative>
2_Kings,עלה,verb,qal,perf,,VP,ascend
2_Kings,שׁם,advb,,,,AdvP,there
2_Kings,לא,nega,,,xYq0,NegP,not
2_Kings,ירד,verb,qal,impf,,VP,descend
2_Kings,מן,prep,,,,PP,from
2_Kings,כי,conj,,,xYq0,CP,that
2_Kings,מות,verb,qal,infa,,AdvP,die
2_Kings,מות,verb,qal,impf,,VP,die
2_Kings,ו,conj,,,WayX,CP,and
2_Kings,הלך,verb,qal,wayq,,VP,walk
2_Kings,אליה,nmpr,,,,PrNP,Elijah
2_Kings,ו,conj,,,WayX,CP,and
2_Kings,שׁוב,verb,qal,wayq,,VP,return
2_Kings,ה,art,,,,NP,the
2_Kings,מלאך,subs,,,,,messenger
2_Kings,אל,prep,,,,PP,to
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,אמר,verb,qal,wayq,,VP,say
2_Kings,אל,prep,,,,PP,to
2_Kings,מה,prin,,,xQt0,InrP,what
2_Kings,זה,prde,,,,,this
2_Kings,שׁוב,verb,qal,perf,,VP,return
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,אמר,verb,qal,wayq,,VP,say
2_Kings,אל,prep,,,,PP,to
2_Kings,אישׁ,subs,,,XQtl,NP,man
2_Kings,עלה,verb,qal,perf,,VP,ascend
2_Kings,ל,prep,,,InfC,VP,to
2_Kings,קרא,verb,qal,infc,,,encounter
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,אמר,verb,qal,wayq,,VP,say
2_Kings,אל,prep,,,,PP,to
2_Kings,הלך,verb,qal,impv,ZIm0,VP,walk
2_Kings,שׁוב,verb,qal,impv,ZIm0,VP,return
2_Kings,אל,prep,,,,PP,to
2_Kings,ה,art,,,,,the
2_Kings,מלך,subs,,,,,king
2_Kings,אשׁר,conj,,,xQt0,CP,<relative>
2_Kings,שׁלח,verb,qal,perf,,VP,send
2_Kings,את,prep,,,,PP,<object marker>
2_Kings,ו,conj,,,WQt0,CP,and
2_Kings,דבר,verb,piel,perf,,VP,speak
2_Kings,אל,prep,,,,PP,to
2_Kings,כה,advb,,,xQtX,AdvP,thus
2_Kings,אמר,verb,qal,perf,,VP,say
2_Kings,יהוה,nmpr,,,,PrNP,YHWH
2_Kings,ה,inrg,,,NmCl,InrP,<interrogative>
2_Kings,מן,prep,,,,CP,from
2_Kings,בלי,subs,,,,,destruction
2_Kings,אין,subs,,,,NegP,<NEG>
2_Kings,אלהים,subs,,,,NP,god(s)
2_Kings,ב,prep,,,,PP,in
2_Kings,ישׂראל,nmpr,,,,,Israel
2_Kings,אתה,prps,,,Ptcp,PPrP,you
2_Kings,שׁלח,verb,qal,ptca,,VP,send
2_Kings,ל,prep,,,InfC,VP,to
2_Kings,דרשׁ,verb,qal,infc,,,inquire
2_Kings,ב,prep,,,,PP,in
2_Kings,בעל,subs,,,,,"lord, baal"
2_Kings,זבוב,subs,,,,,fly
2_Kings,אלהים,subs,,,,,god(s)
2_Kings,עקרון,nmpr,,,,,Ekron
2_Kings,לכן,advb,,,MSyn,AdvP,therefore
2_Kings,ה,art,,,CPen,NP,the
2_Kings,מטה,subs,,,,,couch
2_Kings,אשׁר,conj,,,xQt0,CP,<relative>
2_Kings,עלה,verb,qal,perf,,VP,ascend
2_Kings,שׁם,advb,,,,AdvP,there
2_Kings,לא,nega,,,xYq0,NegP,not
2_Kings,ירד,verb,qal,impf,,VP,descend
2_Kings,מן,prep,,,,PP,from
2_Kings,כי,conj,,,xYq0,CP,that
2_Kings,מות,verb,qal,infa,,AdvP,die
2_Kings,מות,verb,qal,impf,,VP,die
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,דבר,verb,piel,wayq,,VP,speak
2_Kings,אל,prep,,,,PP,to
2_Kings,מה,prin,,,NmCl,IPrP,what
2_Kings,משׁפט,subs,,,,NP,justice
2_Kings,ה,art,,,,,the
2_Kings,אישׁ,subs,,,,,man
2_Kings,אשׁר,conj,,,xQt0,CP,<relative>
2_Kings,עלה,verb,qal,perf,,VP,ascend
2_Kings,ל,prep,,,InfC,VP,to
2_Kings,קרא,verb,qal,infc,,,encounter
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,דבר,verb,piel,wayq,,VP,speak
2_Kings,אל,prep,,,,PP,to
2_Kings,את,prep,,,,PP,<object marker>
2_Kings,ה,art,,,,,the
2_Kings,דבר,subs,,,,,word
2_Kings,ה,art,,,,,the
2_Kings,אלה,prde,,,,,these
2_Kings,ו,conj,,,Way0,CP,and
2_Kings,אמר,verb,qal,wayq,,VP,say
2_Kings,אל,prep,,,,PP,to
