book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,היה,verb,qal,wayq,,VP,be
2_Samuel,אחר,subs,,,,PP,after
2_Samuel,מות,subs,,,,,death
2_Samuel,שׁאול,nmpr,,,,,Saul
2_Samuel,ו,conj,,,WXQt,CP,and
2_Samuel,דוד,nmpr,,,,PrNP,David
2_Samuel,שׁוב,verb,qal,perf,,VP,return
2_Samuel,מן,prep,,,InfC,VP,from
2_Samuel,נכה,verb,hif,infc,,,strike
2_Samuel,את,prep,,,,PP,<object marker>
2_Samuel,ה,art,,,,,the
2_Samuel,עמלק,nmpr,,,,,Amalek
2_Samuel,ו,conj,,,WayX,CP,and
2_Samuel,ישׁב,verb,qal,wayq,,VP,sit
2_Samuel,דוד,nmpr,,,,PrNP,David
2_Samuel,ב,prep,,,,PP,in
2_Samuel,צקלג,nmpr,,,,,Ziklag
2_Samuel,יום,subs,,,,NP,day
2_Samuel,שׁנים,subs,,,,,two
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,היה,verb,qal,wayq,,VP,be
2_Samuel,ב,prep,,,,PP,in
2_Samuel,ה,art,,,,,the
2_Samuel,יום,subs,,,,,day
2_Samuel,ה,art,,,,,the
2_Samuel,שׁלישׁי,adjv,,,,,third
2_Samuel,ו,conj,,,WXQt,CP,and
2_Samuel,הנה,intj,,,,InjP,behold
2_Samuel,אישׁ,subs,,,,NP,man
2_Samuel,בוא,verb,qal,perf,,VP,come
2_Samuel,מן,prep,,,,PP,from
2_Samuel,ה,art,,,,,the
2_Samuel,מחנה,subs,,,,,camp
2_Samuel,מן,prep,,,,,from
2_Samuel,עם,prep,,,,,with
2_Samuel,שׁאול,nmpr,,,,,Saul
2_Samuel,ו,conj,,,Ptcp,CP,and
2_Samuel,בגד,subs,,,,NP,garment
2_Samuel,קרע,verb,qal,ptcp,,VP,tear
2_Samuel,ו,conj,,,NmCl,CP,and
2_Samuel,אדמה,subs,,,,NP,soil
2_Samuel,על,prep,,,,PP,upon
2_Samuel,ראשׁ,subs,,,,,head
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,היה,verb,qal,wayq,,VP,be
2_Samuel,ב,prep,,,InfC,VP,in
2_Samuel,בוא,verb,qal,infc,,,come
2_Samuel,אל,prep,,,,PP,to
2_Samuel,דוד,nmpr,,,,,David
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,נפל,verb,qal,wayq,,VP,fall
2_Samuel,ארץ,subs,,,,AdvP,earth
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,חוה,verb,hsht,wayq,,VP,bow down
2_Samuel,ו,conj,,,WayX,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,ל,prep,,,,PP,to
2_Samuel,דוד,nmpr,,,,PrNP,David
2_Samuel,אי,inrg,,,xYq0,InrP,where
2_Samuel,מן,prep,,,,,from
2_Samuel,זה,prde,,,,,this
2_Samuel,בוא,verb,qal,impf,,VP,come
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,אל,prep,,,,PP,to
2_Samuel,מן,prep,,,xQt0,PP,from
2_Samuel,מחנה,subs,,,,,camp
2_Samuel,ישׂראל,nmpr,,,,,Israel
2_Samuel,מלט,verb,nif,perf,,VP,escape
2_Samuel,ו,conj,,,WayX,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,אל,prep,,,,PP,to
2_Samuel,דוד,nmpr,,,,PrNP,David
2_Samuel,מה,prin,,,xQtX,IPrP,what
2_Samuel,היה,verb,qal,perf,,VP,be
2_Samuel,ה,art,,,,NP,the
2_Samuel,דבר,subs,,,,,word
2_Samuel,נגד,verb,hif,impv,ZIm0,VP,report
2_Samuel,נא,intj,,,,InjP,yeah
2_Samuel,ל,prep,,,,PP,to
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,אשׁר,conj,,,xQtX,CP,<relative>
2_Samuel,נוס,verb,qal,perf,,VP,flee
2_Samuel,ה,art,,,,NP,the
2_Samuel,עם,subs,,,,,people
2_Samuel,מן,prep,,,,PP,from
2_Samuel,ה,art,,,,,the
2_Samuel,מלחמה,subs,,,,,war
2_Samuel,ו,conj,,,WXQt,CP,and
2_Samuel,גם,advb,,,,AdvP,even
2_Samuel,רבה,verb,hif,infa,,NP,be many
2_Samuel,נפל,verb,qal,perf,,VP,fall
2_Samuel,מן,prep,,,,PP,from
2_Samuel,ה,art,,,,,the
2_Samuel,עם,subs,,,,,people
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,מות,verb,qal,wayq,,VP,die
2_Samuel,ו,conj,,,WXQt,CP,and
2_Samuel,גם,advb,,,,PrNP,even
2_Samuel,שׁאול,nmpr,,,,,Saul
2_Samuel,ו,conj,,,,,and
2_Samuel,יהונתן,nmpr,,,,,Jehonathan
2_Samuel,בן,subs,,,,,son
2_Samuel,מות,verb,qal,perf,,VP,die
2_Samuel,ו,conj,,,WayX,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,דוד,nmpr,,,,PrNP,David
2_Samuel,אל,prep,,,,PP,to
2_Samuel,ה,art,,,,,the
2_Samuel,נער,subs,,,,,boy
2_Samuel,ה,art,,,Ptcp,CP,the
2_Samuel,נגד,verb,hif,ptca,,VP,report
2_Samuel,ל,prep,,,,PP,to
2_Samuel,איך,inrg,,,xQt0,InrP,how
2_Samuel,ידע,verb,qal,perf,,VP,know
2_Samuel,כי,conj,,,xQtX,CP,that
2_Samuel,מות,verb,qal,perf,,VP,die
2_Samuel,שׁאול,nmpr,,,,PrNP,Saul
2_Samuel,ו,conj,,,,,and
2_Samuel,יהונתן,nmpr,,,,,Jehonathan
2_Samuel,בן,subs,,,,,son
2_Samuel,ו,conj,,,WayX,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,ה,art,,,,NP,the
2_Samuel,נער,subs,,,,,boy
2_Samuel,ה,art,,,Ptcp,CP,the
2_Samuel,נגד,verb,hif,ptca,,VP,report
2_Samuel,ל,prep,,,,PP,to
2_Samuel,קרא,verb,nif,infa,xQt0,AdvP,encounter
2_Samuel,קרה,verb,nif,perf,,VP,meet
2_Samuel,ב,prep,,,,PP,in
2_Samuel,הר,subs,,,,,mountain
2_Samuel,ה,art,,,,,the
2_Samuel,גלבע,nmpr,,,,,Gilboa
2_Samuel,ו,conj,,,Ptcp,CP,and
2_Samuel,הנה,intj,,,,InjP,behold
2_Samuel,שׁאול,nmpr,,,,PrNP,Saul
2_Samuel,שׁען,verb,nif,ptca,,VP,lean
2_Samuel,על,prep,,,,PP,upon
2_Samuel,חנית,subs,,,,,spear
2_Samuel,ו,conj,,,WXQt,CP,and
2_Samuel,הנה,intj,,,,InjP,behold
2_Samuel,ה,art,,,,NP,the
2_Samuel,רכב,subs,,,,,chariot
2_Samuel,ו,conj,,,,,and
2_Samuel,בעל,subs,,,,,"lord, baal"
2_Samuel,ה,art,,,,,the
2_Samuel,פרשׁ,subs,,,,,horseman
2_Samuel,דבק,verb,hif,perf,,VP,"cling, cleave to"
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,פנה,verb,qal,wayq,,VP,turn
2_Samuel,אחר,subs,,,,PP,after
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,ראה,verb,qal,wayq,,VP,see
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,קרא,verb,qal,wayq,,VP,call
2_Samuel,אל,prep,,,,PP,to
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,הנה,intj,,,NmCl,InjP,behold
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,ל,prep,,,,PP,to
2_Samuel,מי,prin,,,NmCl,IPrP,who
2_Samuel,אתה,prps,,,,PPrP,you
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,אל,prep,,,,PP,to
2_Samuel,עמלקי,adjv,,,NmCl,NP,Amalekite
2_Samuel,אנכי,prps,,,,PPrP,i
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,אמר,verb,qal,wayq,,VP,say
2_Samuel,אל,prep,,,,PP,to
2_Samuel,עמד,verb,qal,impv,ZIm0,VP,stand
2_Samuel,נא,intj,,,,InjP,yeah
2_Samuel,על,prep,,,,PP,upon
2_Samuel,ו,conj,,,WIm0,CP,and
2_Samuel,מות,verb,piel,impv,,VP,die
2_Samuel,כי,conj,,,xQtX,CP,that
2_Samuel,אחז,verb,qal,perf,,VP,seize
2_Samuel,ה,art,,,,NP,the
2_Samuel,שׁבץ,subs,,,,,cramp
2_Samuel,כי,conj,,,NmCl,CP,that
2_Samuel,כל,subs,,,,NP,whole
2_Samuel,עוד,subs,,,,,duration
2_Samuel,נפשׁ,subs,,,,NP,soul
2_Samuel,ב,prep,,,,PP,in
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,עמד,verb,qal,wayq,,VP,stand
2_Samuel,על,prep,,,,PP,upon
2_Samuel,ו,conj,,,WYq0,CP,and
2_Samuel,מות,verb,piel,impf,,VP,die
2_Samuel,כי,conj,,,xQt0,CP,that
2_Samuel,ידע,verb,qal,perf,,VP,know
2_Samuel,כי,conj,,,xYq0,CP,that
2_Samuel,לא,nega,,,,NegP,not
2_Samuel,חיה,verb,qal,impf,,VP,be alive
2_Samuel,אחר,subs,,,InfC,VP,after
2_Samuel,נפל,verb,qal,infc,,,fall
2_Samuel,ו,conj,,,Way0,CP,and
2_Samuel,לקח,verb,qal,wayq,,VP,take
2_Samuel,ה,art,,,,NP,the
2_Samuel,נזר,subs,,,,,consecration
2_Samuel,אשׁר,conj,,,NmCl,CP,<relative>
2_Samuel,על,prep,,,,PP,upon
2_Samuel,ראשׁ,subs,,,,,head
2_Samuel,ו,conj,,,Way0,NP,and
2_Samuel,אצעדה,subs,,,,,bracelet
2_Samuel,אשׁר,conj,,,NmCl,CP,<relative>
2_Samuel,על,prep,,,,PP,upon
2_Samuel,זרוע,subs,,,,,arm
2_Samuel,ו,conj,,,Way0,CP,and
