book,lex,sp,vs,vt,ctyp,ptyp,gloss
Esther,ו,conj,,,Way0,CP,and
Esther,היה,verb,qal,wayq,,VP,be
Esther,ב,prep,,,,PP,in
Esther,יום,subs,,,,,day
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,הוא,prps,,,NmCl,PPrP,he
Esther,אחשׁורושׁ,nmpr,,,,PrNP,Ahasuerus
Esther,ה,art,,,Ptcp,CP,the
Esther,מלך,verb,qal,ptca,,VP,be king
Esther,מן,prep,,,,PP,from
Esther,הדו,nmpr,,,,,India
Esther,ו,conj,,,,,and
Esther,עד,prep,,,,,unto
Esther,כושׁ,nmpr,,,,,Cush
Esther,שׁבע,subs,,,,,seven
Esther,ו,conj,,,,,and
Esther,עשׂרים,subs,,,,,twenty
Esther,ו,conj,,,,,and
Esther,מאה,subs,,,,,hundred
Esther,מדינה,subs,,,,,district
Esther,ב,prep,,,xQt0,PP,in
Esther,ה,art,,,,,the
Esther,יום,subs,,,,,day
Esther,ה,art,,,,,the
Esther,הם,prps,,,,,they
Esther,כ,prep,,,InfC,VP,as
Esther,ישׁב,verb,qal,infc,,,sit
Esther,ה,art,,,,NP,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,על,prep,,,,PP,upon
Esther,כסא,subs,,,,,seat
Esther,מלכות,subs,,,,,kingship
Esther,אשׁר,conj,,,NmCl,CP,<relative>
Esther,ב,prep,,,,PP,in
Esther,שׁושׁן,nmpr,,,,,Susa
Esther,ה,art,,,,,the
Esther,בירה,subs,,,,,citadel
Esther,ב,prep,,,xQt0,PP,in
Esther,שׁנה,subs,,,,,year
Esther,שׁלשׁ,subs,,,,,three
Esther,ל,prep,,,InfC,VP,to
Esther,מלך,verb,qal,infc,,,be king
Esther,עשׂה,verb,qal,perf,xQt0,VP,make
Esther,משׁתה,subs,,,,NP,drinking
Esther,ל,prep,,,,PP,to
Esther,כל,subs,,,,,whole
Esther,שׂר,subs,,,,,chief
Esther,ו,conj,,,,,and
Esther,עבד,subs,,,,,servant
Esther,חיל,subs,,,,,power
Esther,פרס,nmpr,,,,,Persia
Esther,ו,conj,,,,,and
Esther,מדי,nmpr,,,,,Media
Esther,ה,art,,,,,the
Esther,פרתמים,subs,,,,,nobles
Esther,ו,conj,,,,,and
Esther,שׂר,subs,,,,,chief
Esther,ה,art,,,,,the
Esther,מדינה,subs,,,,,district
Esther,ל,prep,,,,,to
Esther,פנה,subs,,,,,face
Esther,ב,prep,,,InfC,VP,in
Esther,ראה,verb,hif,infc,,,see
Esther,את,prep,,,,PP,<object marker>
Esther,עשׁר,subs,,,,,riches
Esther,כבוד,subs,,,,,weight
Esther,מלכות,subs,,,,,kingship
Esther,ו,conj,,,,,and
Esther,את,prep,,,,,<object marker>
Esther,יקר,subs,,,,,preciousness
Esther,תפארת,subs,,,,,splendour
Esther,גדולה,subs,,,,,greatness
Esther,יום,subs,,,,NP,day
Esther,רב,adjv,,,,,much
Esther,שׁמנה,subs,,,,,eight
Esther,ו,conj,,,,,and
Esther,מאה,subs,,,,,hundred
Esther,יום,subs,,,,,day
Esther,ו,conj,,,WxQX,CP,and
Esther,ב,prep,,,InfC,VP,in
Esther,מלא,verb,qal,infc,,,be full
Esther,ה,art,,,,NP,the
Esther,יום,subs,,,,,day
Esther,ה,art,,,,,the
Esther,אלה,prde,,,,,these
Esther,עשׂה,verb,qal,perf,WxQX,VP,make
Esther,ה,art,,,,NP,the
Esther,מלך,subs,,,,,king
Esther,ל,prep,,,,PP,to
Esther,כל,subs,,,,,whole
Esther,ה,art,,,,,the
Esther,עם,subs,,,,,people
Esther,ה,art,,,Ptcp,CP,the
Esther,מצא,verb,nif,ptca,,VP,find
Esther,ב,prep,,,,PP,in
Esther,שׁושׁן,nmpr,,,,,Susa
Esther,ה,art,,,,,the
Esther,בירה,subs,,,,,citadel
Esther,ל,prep,,,WxQX,PP,to
Esther,מן,prep,,,,,from
Esther,גדול,adjv,,,,,great
Esther,ו,conj,,,,,and
Esther,עד,prep,,,,,unto
Esther,קטן,adjv,,,,,small
Esther,משׁתה,subs,,,,NP,drinking
Esther,שׁבע,subs,,,,NP,seven
Esther,יום,subs,,,,,day
Esther,ב,prep,,,,PP,in
Esther,חצר,subs,,,,,court
Esther,גנה,subs,,,,,garden
Esther,ביתן,subs,,,,,palace
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,חור,subs,,,Ptcp,NP,linen
Esther,כרפס,subs,,,,,linen
Esther,ו,conj,,,,,and
Esther,תכלת,subs,,,,,purple wool
Esther,אחז,verb,qal,ptcp,,VP,seize
Esther,ב,prep,,,,PP,in
Esther,חבל,subs,,,,,cord
Esther,בוץ,subs,,,,,byssus cloth
Esther,ו,conj,,,,,and
Esther,ארגמן,subs,,,,,purple-wool
Esther,על,prep,,,,PP,upon
Esther,גליל,subs,,,,,pivot
Esther,כסף,subs,,,,,silver
Esther,ו,conj,,,,,and
Esther,עמוד,subs,,,,,pillar
Esther,שׁשׁ,subs,,,,,alabaster
Esther,מטה,subs,,,NmCl,NP,couch
Esther,זהב,subs,,,,,gold
Esther,ו,conj,,,,,and
Esther,כסף,subs,,,,,silver
Esther,על,prep,,,,PP,upon
Esther,רצפה,subs,,,,,pavement
Esther,בהט,subs,,,,,<uncertain>
Esther,ו,conj,,,,,and
Esther,שׁשׁ,subs,,,,,alabaster
Esther,ו,conj,,,,,and
Esther,דר,subs,,,,,pavement
Esther,ו,conj,,,,,and
Esther,סחרת,subs,,,,,pavement
Esther,ו,conj,,,InfC,CP,and
Esther,שׁקה,verb,hif,infc,,VP,give drink
Esther,ב,prep,,,,PP,in
Esther,כלי,subs,,,,,tool
Esther,זהב,subs,,,,,gold
Esther,ו,conj,,,Ptcp,CP,and
Esther,כלי,subs,,,,NP,tool
Esther,מן,prep,,,,PP,from
Esther,כלי,subs,,,,,tool
Esther,שׁנה,verb,qal,ptca,,VP,change
Esther,ו,conj,,,AjCl,CP,and
Esther,יין,subs,,,,NP,wine
Esther,מלכות,subs,,,,,kingship
Esther,רב,adjv,,,,AdjP,much
Esther,כ,prep,,,,PP,as
Esther,יד,subs,,,,,hand
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ו,conj,,,NmCl,CP,and
Esther,ה,art,,,,NP,the
Esther,שׁתיה,subs,,,,,drinking
Esther,כ,prep,,,,PP,as
Esther,ה,art,,,,,the
Esther,דת,subs,,,,,orders
Esther,אין,subs,,,NmCl,NegP,<NEG>
Esther,אנס,verb,qal,ptca,,NP,compel
Esther,כי,conj,,,xQtX,CP,that
Esther,כן,advb,,,,AdvP,thus
Esther,יסד,verb,piel,perf,,VP,found
Esther,ה,art,,,,NP,the
Esther,מלך,subs,,,,,king
Esther,על,prep,,,,PP,upon
Esther,כל,subs,,,,,whole
Esther,רב,subs,,,,,chief
Esther,בית,subs,,,,,house
Esther,ל,prep,,,InfC,VP,to
Esther,עשׂה,verb,qal,infc,,,make
Esther,כ,prep,,,,PP,as
Esther,רצון,subs,,,,,pleasure
Esther,אישׁ,subs,,,,,man
Esther,ו,conj,,,,,and
Esther,אישׁ,subs,,,,,man
Esther,גם,advb,,,XQtl,PrNP,even
Esther,ושׁתי,nmpr,,,,,Vashti
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,עשׂה,verb,qal,perf,,VP,make
Esther,משׁתה,subs,,,,NP,drinking
Esther,אשׁה,subs,,,,,woman
Esther,בית,subs,,,,NP,house
Esther,ה,art,,,,,the
Esther,מלכות,subs,,,,,kingship
Esther,אשׁר,conj,,,NmCl,CP,<relative>
Esther,ל,prep,,,,PP,to
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,ב,prep,,,xQt0,PP,in
Esther,ה,art,,,,,the
Esther,יום,subs,,,,,day
Esther,ה,art,,,,,the
Esther,שׁביעי,adjv,,,,,seventh
Esther,כ,prep,,,InfC,VP,as
Esther,טוב,verb,qal,infc,,,be good
Esther,לב,subs,,,,NP,heart
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ב,prep,,,,PP,in
Esther,ה,art,,,,,the
Esther,יין,subs,,,,,wine
Esther,אמר,verb,qal,perf,xQt0,VP,say
Esther,ל,prep,,,,PP,to
Esther,מהומן,nmpr,,,,,Mehuman
Esther,בזתא,nmpr,,,,,Biztha
Esther,חרבונא,nmpr,,,,,Harbona
Esther,בגתא,nmpr,,,,,Bigtha
Esther,ו,conj,,,,,and
Esther,אבגתא,nmpr,,,,,Abagtha
Esther,זתר,nmpr,,,,,Zethar
Esther,ו,conj,,,,,and
Esther,כרכס,nmpr,,,,,Carcas
Esther,שׁבע,subs,,,,,seven
Esther,ה,art,,,,,the
Esther,סריס,subs,,,,,official
Esther,ה,art,,,Ptcp,CP,the
Esther,שׁרת,verb,piel,ptca,,VP,serve
Esther,את,prep,,,,PP,together with
Esther,פנה,subs,,,,,face
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,ל,prep,,,InfC,VP,to
Esther,בוא,verb,hif,infc,,,come
Esther,את,prep,,,,PP,<object marker>
Esther,ושׁתי,nmpr,,,,,Vashti
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,ל,prep,,,,PP,to
Esther,פנה,subs,,,,,face
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ב,prep,,,,PP,in
Esther,כתר,subs,,,,,headdress
Esther,מלכות,subs,,,,,kingship
Esther,ל,prep,,,InfC,VP,to
Esther,ראה,verb,hif,infc,,,see
Esther,ה,art,,,,NP,the
Esther,עם,subs,,,,,people
Esther,ו,conj,,,,,and
Esther,ה,art,,,,,the
Esther,שׂר,subs,,,,,chief
Esther,את,prep,,,,PP,<object marker>
Esther,יפי,subs,,,,,beauty
Esther,כי,conj,,,AjCl,CP,that
Esther,טוב,adjv,,,,AdjP,good
Esther,מראה,subs,,,,,sight
Esther,היא,prps,,,,PPrP,she
Esther,ו,conj,,,WayX,CP,and
Esther,מאן,verb,piel,wayq,,VP,refuse
Esther,ה,art,,,,NP,the
Esther,מלכה,subs,,,,,queen
Esther,ושׁתי,nmpr,,,,,Vashti
Esther,ל,prep,,,InfC,VP,to
Esther,בוא,verb,qal,infc,,,come
Esther,ב,prep,,,,PP,in
Esther,דבר,subs,,,,,word
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אשׁר,conj,,,NmCl,CP,<relative>
Esther,ב,prep,,,,PP,in
Esther,יד,subs,,,,,hand
Esther,ה,art,,,,,the
Esther,סריס,subs,,,,,official
Esther,ו,conj,,,WayX,CP,and
Esther,קצף,verb,qal,wayq,,VP,be angry
Esther,ה,art,,,,NP,the
Esther,מלך,subs,,,,,king
Esther,מאד,subs,,,,AdvP,might
Esther,ו,conj,,,WXQt,CP,and
Esther,חמה,subs,,,,NP,heat
Esther,בער,verb,qal,perf,,VP,burn
Esther,ב,prep,,,,PP,in
Esther,ו,conj,,,WayX,CP,and
Esther,אמר,verb,qal,wayq,,VP,say
Esther,ה,art,,,,NP,the
Esther,מלך,subs,,,,,king
Esther,ל,prep,,,,PP,to
Esther,ה,art,,,,,the
Esther,חכם,adjv,,,,,wise
Esther,ידע,verb,qal,ptca,,,know
Esther,ה,art,,,,,the
Esther,עת,subs,,,,,time
Esther,כי,conj,,,NmCl,CP,that
Esther,כן,advb,,,,AdvP,thus
Esther,דבר,subs,,,,NP,word
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ל,prep,,,,PP,to
Esther,פנה,subs,,,,,face
Esther,כל,subs,,,,,whole
Esther,ידע,verb,qal,ptca,,,know
Esther,דת,subs,,,,,orders
Esther,ו,conj,,,,,and
Esther,דין,subs,,,,,claim
Esther,ו,conj,,,NmCl,CP,and
Esther,ה,art,,,AjCl,CP,the
Esther,קרוב,adjv,,,,AdjP,near
Esther,אל,prep,,,,PP,to
Esther,כרשׁנא,nmpr,,,NmCl,PrNP,Carshena
Esther,שׁתר,nmpr,,,,,Shethar
Esther,אדמתא,nmpr,,,,,Admatha
Esther,תרשׁישׁ,nmpr,,,,,Tarshish
Esther,מרס,nmpr,,,,,Meres
Esther,מרסנא,nmpr,,,,,Marsena
Esther,ממוכן,nmpr,,,,,Memucan
Esther,שׁבע,subs,,,,,seven
Esther,שׂר,subs,,,,,chief
Esther,פרס,nmpr,,,,,Persia
Esther,ו,conj,,,,,and
Esther,מדי,nmpr,,,,,Media
Esther,ראה,verb,qal,ptca,,,see
Esther,פנה,subs,,,,,face
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ה,art,,,Ptcp,CP,the
Esther,ישׁב,verb,qal,ptca,,VP,sit
Esther,ראשׁון,adjv,,,,AdvP,first
Esther,ב,prep,,,,PP,in
Esther,ה,art,,,,,the
Esther,מלכות,subs,,,,,kingship
Esther,כ,prep,,,NmCl,PP,as
Esther,דת,subs,,,,,orders
Esther,מה,prin,,,,IPrP,what
Esther,ל,prep,,,InfC,VP,to
Esther,עשׂה,verb,qal,infc,,,make
Esther,ב,prep,,,,PP,in
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,ושׁתי,nmpr,,,,,Vashti
Esther,על,prep,,,xQt0,CP,upon
Esther,אשׁר,conj,,,,,<relative>
Esther,לא,nega,,,,NegP,not
Esther,עשׂה,verb,qal,perf,,VP,make
Esther,את,prep,,,,PP,<object marker>
Esther,מאמר,subs,,,,,word
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,ב,prep,,,,,in
Esther,יד,subs,,,,,hand
Esther,ה,art,,,,,the
Esther,סריס,subs,,,,,official
Esther,ו,conj,,,WayX,CP,and
Esther,אמר,verb,qal,wayq,,VP,say
Esther,ממוכן,nmpr,,,,PrNP,Memucan
Esther,ל,prep,,,,PP,to
Esther,פנה,subs,,,,,face
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ו,conj,,,,,and
Esther,ה,art,,,,,the
Esther,שׂר,subs,,,,,chief
Esther,לא,nega,,,xQtX,NegP,not
Esther,על,prep,,,,PP,upon
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ל,prep,,,,,to
Esther,בד,subs,,,,,"linen, part, stave"
Esther,עוה,verb,qal,perf,,VP,do wrong
Esther,ושׁתי,nmpr,,,,PrNP,Vashti
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,כי,conj,,,Ellp,CP,that
Esther,על,prep,,,,PP,upon
Esther,כל,subs,,,,,whole
Esther,ה,art,,,,,the
Esther,שׂר,subs,,,,,chief
Esther,ו,conj,,,,,and
Esther,על,prep,,,,,upon
Esther,כל,subs,,,,,whole
Esther,ה,art,,,,,the
Esther,עם,subs,,,,,people
Esther,אשׁר,conj,,,NmCl,CP,<relative>
Esther,ב,prep,,,,PP,in
Esther,כל,subs,,,,,whole
Esther,מדינה,subs,,,,,district
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,כי,conj,,,xYqX,CP,that
Esther,יצא,verb,qal,impf,,VP,go out
Esther,דבר,subs,,,,NP,word
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,על,prep,,,,PP,upon
Esther,כל,subs,,,,,whole
Esther,ה,art,,,,,the
Esther,אשׁה,subs,,,,,woman
Esther,ל,prep,,,InfC,VP,to
Esther,בזה,verb,hif,infc,,,despise
Esther,בעל,subs,,,,NP,"lord, baal"
Esther,ב,prep,,,,PP,in
Esther,עין,subs,,,,,eye
Esther,ב,prep,,,InfC,VP,in
Esther,אמר,verb,qal,infc,,,say
Esther,ה,art,,,XQtl,NP,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,אמר,verb,qal,perf,,VP,say
Esther,ל,prep,,,InfC,VP,to
Esther,בוא,verb,hif,infc,,,come
Esther,את,prep,,,,PP,<object marker>
Esther,ושׁתי,nmpr,,,,,Vashti
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,ל,prep,,,,PP,to
Esther,פנה,subs,,,,,face
Esther,ו,conj,,,WxQ0,CP,and
Esther,לא,nega,,,,NegP,not
Esther,בוא,verb,qal,perf,,VP,come
Esther,ו,conj,,,WxYX,CP,and
Esther,ה,art,,,,NP,the
Esther,יום,subs,,,,,day
Esther,ה,art,,,,,the
Esther,זה,prde,,,,,this
Esther,אמר,verb,qal,impf,,VP,say
Esther,שׂרה,subs,,,,NP,mistress
Esther,פרס,nmpr,,,,,Persia
Esther,ו,conj,,,,,and
Esther,מדי,nmpr,,,,,Media
Esther,אשׁר,conj,,,xQt0,CP,<relative>
Esther,שׁמע,verb,qal,perf,,VP,hear
Esther,את,prep,,,,PP,<object marker>
Esther,דבר,subs,,,,,word
Esther,ה,art,,,,,the
Esther,מלכה,subs,,,,,queen
Esther,ל,prep,,,WxYX,PP,to
Esther,כל,subs,,,,,whole
Esther,שׂר,subs,,,,,chief
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,ו,conj,,,NmCl,CP,and
Esther,כ,prep,,,,PP,as
Esther,די,subs,,,,,sufficiency
Esther,בזיון,subs,,,,NP,contempt
Esther,ו,conj,,,,,and
Esther,קצף,subs,,,,,anger
Esther,אם,conj,,,AjCl,CP,if
Esther,על,prep,,,,PP,upon
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,טוב,adjv,,,,AdjP,good
Esther,יצא,verb,qal,impf,ZYqX,VP,go out
Esther,דבר,subs,,,,NP,word
Esther,מלכות,subs,,,,,kingship
Esther,מן,prep,,,,PP,from
Esther,ל,prep,,,,,to
Esther,פנה,subs,,,,,face
Esther,ו,conj,,,WYq0,CP,and
Esther,כתב,verb,nif,impf,,VP,write
Esther,ב,prep,,,,PP,in
Esther,דת,subs,,,,,orders
Esther,פרס,nmpr,,,,,Persia
Esther,ו,conj,,,,,and
Esther,מדי,nmpr,,,,,Media
Esther,ו,conj,,,WxY0,CP,and
Esther,לא,nega,,,,NegP,not
Esther,עבר,verb,qal,impf,,VP,pass
Esther,אשׁר,conj,,,xYqX,CP,<relative>
Esther,לא,nega,,,,NegP,not
Esther,בוא,verb,qal,impf,,VP,come
Esther,ושׁתי,nmpr,,,,PrNP,Vashti
Esther,ל,prep,,,,PP,to
Esther,פנה,subs,,,,,face
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אחשׁורושׁ,nmpr,,,,,Ahasuerus
Esther,ו,conj,,,WxYX,CP,and
Esther,מלכות,subs,,,,NP,kingship
Esther,נתן,verb,qal,impf,,VP,give
Esther,ה,art,,,,NP,the
Esther,מלך,subs,,,,,king
Esther,ל,prep,,,,PP,to
Esther,רעות,subs,,,,,female companion
Esther,ה,art,,,AjCl,CP,the
Esther,טוב,adjv,,,,AdjP,good
Esther,מן,prep,,,,PP,from
Esther,ו,conj,,,WQtX,CP,and
Esther,שׁמע,verb,nif,perf,,VP,hear
Esther,פתגם,subs,,,,NP,decision
Esther,ה,art,,,,,the
Esther,מלך,subs,,,,,king
Esther,אשׁר,conj,,,xYq0,CP,<relative>
Esther,עשׂה,verb,qal,impf,,VP,make
Esther,ב,prep,,,WQtX,PP,in
Esther,כל,subs,,,,,whole
Esther,מלכות,subs,,,,,kingship
Esther,כי,conj,,,AjCl,CP,that
