book,lex,sp,vs,vt,ctyp,ptyp,gloss
Leviticus,ו,conj,,,Way0,CP,and
Leviticus,קרא,verb,qal,wayq,,VP,call
Leviticus,אל,prep,,,,PP,to
Leviticus,משׁה,nmpr,,,,,Moses
Leviticus,ו,conj,,,WayX,CP,and
Leviticus,דבר,verb,piel,wayq,,VP,speak
Leviticus,יהוה,nmpr,,,,PrNP,YHWH
Leviticus,אל,prep,,,,PP,to
Leviticus,מן,prep,,,,PP,from
Leviticus,אהל,subs,,,,,tent
Leviticus,מועד,subs,,,,,appointment
Leviticus,ל,prep,,,InfC,VP,to
Leviticus,אמר,verb,qal,infc,,,say
Leviticus,דבר,verb,piel,impv,ZIm0,VP,speak
Leviticus,אל,prep,,,,PP,to
Leviticus,בן,subs,,,,,son
Leviticus,ישׂראל,nmpr,,,,,Israel
Leviticus,ו,conj,,,WQt0,CP,and
Leviticus,אמר,verb,qal,perf,,VP,say
Leviticus,אל,prep,,,,PP,to
Leviticus,אדם,subs,,,CPen,NP,"human, mankind"
Leviticus,כי,conj,,,xYq0,CP,that
Leviticus,קרב,verb,hif,impf,,VP,approach
Leviticus,מן,prep,,,,PP,from
Leviticus,קרבן,subs,,,,NP,offering
Leviticus,ל,prep,,,,PP,to
Leviticus,יהוה,nmpr,,,,,YHWH
Leviticus,מן,prep,,,xYq0,PP,from
Leviticus,ה,art,,,,,the
Leviticus,בהמה,subs,,,,,cattle
Leviticus,מן,prep,,,,,from
Leviticus,ה,art,,,,,the
Leviticus,בקר,subs,,,,,cattle
Leviticus,ו,conj,,,,,and
Leviticus,מן,prep,,,,,from
Leviticus,ה,art,,,,,the
Leviticus,צאן,subs,,,,,cattle
Leviticus,קרב,verb,hif,impf,,VP,approach
Leviticus,את,prep,,,,PP,<object marker>
Leviticus,קרבן,subs,,,,,offering
Leviticus,אם,conj,,,NmCl,CP,if
Leviticus,עלה,subs,,,,NP,burnt-offering
Leviticus,קרבן,subs,,,,NP,offering
Leviticus,מן,prep,,,,PP,from
Leviticus,ה,art,,,,,the
Leviticus,בקר,subs,,,,,cattle
Leviticus,זכר,adjv,,,CPen,NP,male
Leviticus,תמים,adjv,,,,,complete
Leviticus,קרב,verb,hif,impf,ZYq0,VP,approach
Leviticus,אל,prep,,,xYq0,PP,to
Leviticus,פתח,subs,,,,,opening
Leviticus,אהל,subs,,,,,tent
Leviticus,מועד,subs,,,,,appointment
Leviticus,קרב,verb,hif,impf,,VP,approach
Leviticus,את,prep,,,,PP,<object marker>
