verse,sentence_node,speakers,type
Esther 1:1,1229022,author,description
Esther 1:1,1229023,author,description
Esther 1:2-4,1229024,author,description
Esther 1:5,1229025,author,description
Esther 1:6,1229026,author,description
Esther 1:6,1229027,author,description
Esther 1:7,1229028,author,description
Esther 1:7,1229029,author,description
Esther 1:7,1229030,author,description
Esther 1:8,1229031,author,description
Esther 1:8,1229032,author,description
Esther 1:9,1229033,author,description
Esther 1:10,1229034,author,description
Esther 1:11,1229035,author,description
Esther 1:12,1229036,author,description
Esther 1:12,1229037,author,description
Esther 1:12,1229038,author,description
Esther 1:13,1229039,author,description
Esther 1:13,1229040,author,description
Esther 1:14,1229041,author,description
Esther 1:16,1229043,author,description
Esther 1:21,1229057,author,description
Esther 1:21,1229058,author,description
Esther 2:1,1229060,author,description
Esther 2:2,1229061,author,description
Esther 2:4,1229067,author,description
Esther 2:4,1229068,author,description
Esther 2:5,1229069,author,description
Esther 2:5,1229070,author,description
Esther 2:5,1229071,author,description
Esther 2:7,1229072,author,description
Esther 2:7,1229073,author,description
Esther 2:7,1229074,author,description
Esther 2:7,1229075,author,description
Esther 2:7,1229076,author,description
Esther 2:8,1229077,author,description
Esther 2:8,1229078,author,description
Esther 2:9,1229079,author,description
Esther 2:9,1229080,author,description
Esther 2:9,1229081,author,description
Esther 2:9,1229082,author,description
Esther 2:10,1229083,author,description
Esther 2:10,1229084,author,description
Esther 2:11,1229085,author,description
Esther 2:12,1229086,author,description
Esther 2:12,1229087,author,description
Esther 2:13,1229088,author,description
Esther 2:14,1229089,author,description
Esther 2:14,1229090,author,description
Esther 2:14,1229091,author,description
Esther 2:14,1229092,author,description
Esther 2:14,1229093,author,description
Esther 2:15,1229094,author,description
Esther 2:15,1229095,author,description
Esther 2:16,1229096,author,description
Esther 2:16,1229097,author,description
Esther 2:17,1229098,author,description
Esther 2:17,1229099,author,description
Esther 2:17,1229100,author,description
Esther 2:17,1229101,author,description
Esther 2:18,1229102,author,description
Esther 2:18,1229103,author,description
Esther 2:18,1229104,author,description
Esther 2:19,1229105,author,description
Esther 2:20,1229106,author,description
Esther 2:21,1229107,author,description
Esther 2:21,1229108,author,description
Esther 2:22,1229109,author,description
Esther 2:22,1229110,author,description
Esther 2:22,1229111,author,description
Esther 2:23,1229112,author,description
Esther 2:23,1229113,author,description
Esther 2:23,1229114,author,description
Esther 2:23,1229115,author,description
Esther 3:1,1229116,author,description
Esther 3:1,1229117,author,description
Esther 3:1,1229118,author,description
Esther 3:2,1229119,author,description
Esther 3:2,1229120,author,description
Esther 3:2,1229121,author,description
Esther 3:2,1229122,author,description
Esther 3:3,1229123,author,description
Esther 3:4,1229125,author,description
Esther 3:4,1229126,author,description
Esther 3:4,1229127,author,description
Esther 3:5,1229128,author,description
Esther 3:5,1229129,author,description
Esther 3:6,1229130,author,description
Esther 3:6,1229131,author,description
Esther 3:6,1229132,author,description
Esther 3:7,1229133,author,description
Esther 3:7,1229134,author,description
Esther 3:7,1229135,author,description
Esther 3:7,1229136,author,description
Esther 3:8,1229137,author,description
Esther 3:10,1229145,author,description
Esther 3:10,1229146,author,description
Esther 3:11,1229147,author,description
Esther 3:12,1229149,author,description
Esther 3:12,1229150,author,description
Esther 3:12,1229151,author,description
Esther 3:12,1229152,author,description
Esther 3:15,1229155,author,description
Esther 3:15,1229156,author,description
Esther 3:15,1229157,author,description
Esther 3:15,1229158,author,description
Esther 4:1,1229159,author,description
Esther 4:1,1229160,author,description
Esther 4:1,1229161,author,description
Esther 4:1,1229162,author,description
Esther 4:1,1229163,author,description
Esther 4:2,1229164,author,description
Esther 4:2,1229165,author,description
Esther 4:3,1229166,author,description
Esther 4:3,1229167,author,description
Esther 4:4,1229168,author,description
Esther 4:4,1229169,author,description
Esther 4:4,1229170,author,description
Esther 4:4,1229171,author,description
Esther 4:4,1229172,author,description
Esther 4:5,1229173,author,description
Esther 4:5,1229174,author,description
Esther 4:6,1229175,author,description
Esther 4:7,1229176,author,description
Esther 4:8,1229177,author,description
Esther 4:9,1229178,author,description
Esther 4:9,1229179,author,description
Esther 4:10,1229180,author,description
Esther 4:10,1229181,author,description
Esther 4:12,1229185,author,description
Esther 4:13,1229186,author,description
Esther 4:15,1229191,author,description
Esther 4:17,1229200,author,description
Esther 4:17,1229201,author,description
Esther 5:1,1229202,author,description
Esther 5:1,1229203,author,description
