book,lex,sp,vs,vt,ctyp,cnode,ptyp,gloss,speaker,ttype,clausespeaker,clausettype
Esther1:1,ו,conj,,,Way0,505278,CP,and,author,description,author,description
Esther1:1,היה,verb,qal,wayq,,,VP,be,author,description,,
Esther1:1,ב,prep,,,,,PP,in,author,description,,
Esther1:1,יום,subs,,,,,,day,author,description,,
Esther1:1,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,author,description,,
Esther1:1,הוא,prps,,,NmCl,505279,PPrP,he,author,description,author,description
Esther1:1,אחשׁורושׁ,nmpr,,,,,PrNP,Ahasuerus,author,description,,
Esther1:1,ה,art,,,Ptcp,505280,CP,the,author,description,author,description
Esther1:1,מלך,verb,qal,ptca,,,VP,be king,author,description,,
Esther1:1,מן,prep,,,,,PP,from,author,description,,
Esther1:1,הדו,nmpr,,,,,,India,author,description,,
Esther1:1,ו,conj,,,,,,and,author,description,,
Esther1:1,עד,prep,,,,,,unto,author,description,,
Esther1:1,כושׁ,nmpr,,,,,,Cush,author,description,,
Esther1:1,שׁבע,subs,,,,,,seven,author,description,,
Esther1:1,ו,conj,,,,,,and,author,description,,
Esther1:1,עשׂרים,subs,,,,,,twenty,author,description,,
Esther1:1,ו,conj,,,,,,and,author,description,,
Esther1:1,מאה,subs,,,,,,hundred,author,description,,
Esther1:1,מדינה,subs,,,,,,district,author,description,,
Esther1:2,ב,prep,,,xQt0,505281,PP,in,author,description,author,description
Esther1:2,ה,art,,,,,,the,author,description,,
Esther1:2,יום,subs,,,,,,day,author,description,,
Esther1:2,ה,art,,,,,,the,author,description,,
Esther1:2,הם,prps,,,,,,they,author,description,,
Esther1:2,כ,prep,,,InfC,505282,VP,as,author,description,author,description
Esther1:2,ישׁב,verb,qal,infc,,,,sit,author,description,,
Esther1:2,ה,art,,,,,NP,the,author,description,,
Esther1:2,מלך,subs,,,,,,king,author,description,,
Esther1:2,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,author,description,,
Esther1:2,על,prep,,,,,PP,upon,author,description,,
Esther1:2,כסא,subs,,,,,,seat,author,description,,
Esther1:2,מלכות,subs,,,,,,kingship,author,description,,
Esther1:2,אשׁר,conj,,,NmCl,505283,CP,<relative>,author,description,author,description
Esther1:2,ב,prep,,,,,PP,in,author,description,,
Esther1:2,שׁושׁן,nmpr,,,,,,Susa,author,description,,
Esther1:2,ה,art,,,,,,the,author,description,,
Esther1:2,בירה,subs,,,,,,citadel,author,description,,
Esther1:3,ב,prep,,,xQt0,505281,PP,in,author,description,author,description
Esther1:3,שׁנה,subs,,,,,,year,author,description,,
Esther1:3,שׁלשׁ,subs,,,,,,three,author,description,,
Esther1:3,ל,prep,,,InfC,505284,VP,to,author,description,author,description
Esther1:3,מלך,verb,qal,infc,,,,be king,author,description,,
Esther1:3,עשׂה,verb,qal,perf,xQt0,505281,VP,make,author,description,author,description
Esther1:3,משׁתה,subs,,,,,NP,drinking,author,description,,
Esther1:3,ל,prep,,,,,PP,to,author,description,,
Esther1:3,כל,subs,,,,,,whole,author,description,,
Esther1:3,שׂר,subs,,,,,,chief,author,description,,
Esther1:3,ו,conj,,,,,,and,author,description,,
Esther1:3,עבד,subs,,,,,,servant,author,description,,
Esther1:3,חיל,subs,,,,,,power,author,description,,
Esther1:3,פרס,nmpr,,,,,,Persia,author,description,,
Esther1:3,ו,conj,,,,,,and,author,description,,
Esther1:3,מדי,nmpr,,,,,,Media,author,description,,
Esther1:3,ה,art,,,,,,the,author,description,,
