verse,sentence_node,speakers,type
Esther 1:15,1229042,persian,discourse
Esther 1:16,1229044,persian,discourse
Esther 1:17,1229045,persian,discourse
Esther 1:17,1229046,persian,discourse
Esther 1:17,1229047,persian,discourse
Esther 1:18,1229048,persian,discourse
Esther 1:18,1229049,persian,discourse
Esther 1:19,1229050,persian,discourse
Esther 1:19,1229051,persian,discourse
Esther 1:19,1229052,persian,discourse
Esther 1:19,1229053,persian,discourse
Esther 1:20,1229054,persian,discourse
Esther 1:20,1229055,persian,discourse
Esther 1:20,1229056,persian,discourse
Esther 2:2,1229062,persian,discourse
Esther 2:3,1229063,persian,discourse
Esther 2:3,1229064,persian,discourse
Esther 2:3,1229065,persian,discourse
Esther 2:4,1229066,persian,discourse
Esther 3:3,1229124,persian,discourse
Esther 3:8,1229138,persian,discourse
Esther 3:8,1229139,persian,discourse
Esther 3:8,1229140,persian,discourse
Esther 3:8,1229141,persian,discourse
Esther 3:9,1229142,persian,discourse
Esther 3:9,1229143,persian,discourse
Esther 3:9,1229144,persian,discourse
Esther 3:11,1229148,persian,discourse
Esther 4:11,1229182,jew,discourse
Esther 4:11,1229183,jew,discourse
Esther 4:11,1229184,jew,discourse
Esther 4:13,1229187,jew,discourse
Esther 4:14,1229188,jew,discourse
Esther 4:14,1229189,jew,discourse
Esther 4:14,1229190,jew,discourse
Esther 4:16,1229192,jew,discourse
Esther 4:16,1229193,jew,discourse
Esther 4:16,1229194,jew,discourse
Esther 4:16,1229195,jew,discourse
Esther 4:16,1229196,jew,discourse
Esther 4:16,1229197,jew,discourse
Esther 4:16,1229198,jew,discourse
Esther 4:16,1229199,jew,discourse
Esther 5:3,1229212,persian,discourse
Esther 5:3,1229213,persian,discourse
Esther 5:3,1229214,persian,discourse
Esther 5:4,1229216,jew,discourse
Esther 5:4,1229217,jew,discourse
Esther 5:6,1229222,persian,discourse
Esther 5:6,1229223,persian,discourse
Esther 5:6,1229224,persian,discourse
Esther 5:6,1229225,persian,discourse
Esther 5:7,1229228,jew,discourse
Esther 5:8,1229229,jew,discourse
Esther 5:8,1229230,jew,discourse
Esther 5:12,1229242,persian,discourse
Esther 5:12,1229243,persian,discourse
Esther 5:14,1229246,persian,discourse
Esther 5:14,1229247,persian,discourse
Esther 5:14,1229248,persian,discourse
Esther 5:14,1229249,persian,discourse
Esther 6:3,1229257,persian,discourse
Esther 6:3,1229259,persian,discourse
Esther 6:4,1229261,persian,discourse
Esther 6:5,1229264,persian,discourse
Esther 6:5,1229266,persian,discourse
Esther 6:6,1229269,persian,discourse
Esther 6:6,1229271,persian,discourse
Esther 6:7,1229273,persian,discourse
Esther 6:8,1229274,persian,discourse
Esther 6:9,1229275,persian,discourse
Esther 6:9,1229276,persian,discourse
Esther 6:9,1229277,persian,discourse
Esther 6:9,1229278,persian,discourse
Esther 6:9,1229279,persian,discourse
Esther 6:10,1229281,persian,discourse
Esther 6:10,1229282,persian,discourse
Esther 6:10,1229283,persian,discourse
Esther 6:10,1229284,persian,discourse
Esther 6:11,1229289,persian,discourse
Esther 6:13,1229294,persian,discourse
Esther 6:13,1229295,persian,discourse
Esther 6:13,1229296,persian,discourse
Esther 7:2,1229302,persian,discourse
Esther 7:2,1229303,persian,discourse
Esther 7:2,1229304,persian,discourse
Esther 7:2,1229305,persian,discourse
Esther 7:3,1229308,jew,discourse
Esther 7:3,1229309,jew,discourse
Esther 7:3,1229310,jew,discourse
Esther 7:4,1229311,jew,discourse
Esther 7:4,1229312,jew,discourse
Esther 7:4,1229313,jew,discourse
Esther 7:5,1229316,persian,discourse
Esther 7:5,1229317,persian,discourse
Esther 7:6,1229319,persian,discourse
Esther 7:6,1229320,persian,discourse
Esther 7:8,1229328,persian,discourse
Esther 7:9,1229332,persian,discourse
Esther 7:9,1229333,persian,discourse
Esther 7:9,1229335,persian,discourse
Esther 8:5,1229353,jew,discourse
Esther 8:5,1229354,jew,discourse
Esther 8:5,1229355,jew,discourse
Esther 8:5,1229356,jew,discourse
Esther 8:5,1229357,jew,discourse
Esther 8:6,1229358,jew,discourse
Esther 8:6,1229359,jew,discourse
Esther 8:6,1229360,jew,discourse
Esther 8:6,1229361,jew,discourse
Esther 8:7,1229363,persian,discourse
Esther 8:7,1229364,persian,discourse
Esther 8:8,1229365,persian,discourse
Esther 8:8,1229366,persian,discourse
Esther 8:8,1229367,persian,discourse
Esther 9:12,1229402,persian,discourse
Esther 9:12,1229403,persian,discourse
Esther 9:12,1229404,persian,discourse
Esther 9:12,1229405,persian,discourse
Esther 9:12,1229406,persian,discourse
Esther 9:12,1229407,persian,discourse
Esther 9:12,1229408,persian,discourse
Esther 9:13,1229410,jew,discourse
Esther 9:13,1229411,jew,discourse
Esther 9:13,1229412,jew,discourse
