book,lex,sp,vs,vt,ctyp,cnode,ptyp,gloss,speaker,ttype,clausespeaker,clausettype
Esther1:15,כ,prep,,,NmCl,505316,PP,as,persian,discourse,persian,discourse
Esther1:15,דת,subs,,,,,,orders,persian,discourse,,
Esther1:15,מה,prin,,,,,IPrP,what,persian,discourse,,
Esther1:15,ל,prep,,,InfC,505317,VP,to,persian,discourse,persian,discourse
Esther1:15,עשׂה,verb,qal,infc,,,,make,persian,discourse,,
Esther1:15,ב,prep,,,,,PP,in,persian,discourse,,
Esther1:15,ה,art,,,,,,the,persian,discourse,,
Esther1:15,מלכה,subs,,,,,,queen,persian,discourse,,
Esther1:15,ושׁתי,nmpr,,,,,,Vashti,persian,discourse,,
Esther1:15,על,prep,,,xQt0,505318,CP,upon,persian,discourse,persian,discourse
Esther1:15,אשׁר,conj,,,,,,<relative>,persian,discourse,,
Esther1:15,לא,nega,,,,,NegP,not,persian,discourse,,
Esther1:15,עשׂה,verb,qal,perf,,,VP,make,persian,discourse,,
Esther1:15,את,prep,,,,,PP,<object marker>,persian,discourse,,
Esther1:15,מאמר,subs,,,,,,word,persian,discourse,,
Esther1:15,ה,art,,,,,,the,persian,discourse,,
Esther1:15,מלך,subs,,,,,,king,persian,discourse,,
Esther1:15,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,persian,discourse,,
Esther1:15,ב,prep,,,,,,in,persian,discourse,,
Esther1:15,יד,subs,,,,,,hand,persian,discourse,,
Esther1:15,ה,art,,,,,,the,persian,discourse,,
Esther1:15,סריס,subs,,,,,,official,persian,discourse,,
Esther1:16,לא,nega,,,xQtX,505320,NegP,not,persian,discourse,persian,discourse
Esther1:16,על,prep,,,,,PP,upon,persian,discourse,,
Esther1:16,ה,art,,,,,,the,persian,discourse,,
Esther1:16,מלך,subs,,,,,,king,persian,discourse,,
Esther1:16,ל,prep,,,,,,to,persian,discourse,,
Esther1:16,בד,subs,,,,,,"linen, part, stave",persian,discourse,,
Esther1:16,עוה,verb,qal,perf,,,VP,do wrong,persian,discourse,,
Esther1:16,ושׁתי,nmpr,,,,,PrNP,Vashti,persian,discourse,,
Esther1:16,ה,art,,,,,,the,persian,discourse,,
Esther1:16,מלכה,subs,,,,,,queen,persian,discourse,,
Esther1:16,כי,conj,,,Ellp,505321,CP,that,persian,discourse,persian,discourse
Esther1:16,על,prep,,,,,PP,upon,persian,discourse,,
Esther1:16,כל,subs,,,,,,whole,persian,discourse,,
Esther1:16,ה,art,,,,,,the,persian,discourse,,
Esther1:16,שׂר,subs,,,,,,chief,persian,discourse,,
Esther1:16,ו,conj,,,,,,and,persian,discourse,,
Esther1:16,על,prep,,,,,,upon,persian,discourse,,
Esther1:16,כל,subs,,,,,,whole,persian,discourse,,
Esther1:16,ה,art,,,,,,the,persian,discourse,,
Esther1:16,עם,subs,,,,,,people,persian,discourse,,
Esther1:16,אשׁר,conj,,,NmCl,505322,CP,<relative>,persian,discourse,persian,discourse
Esther1:16,ב,prep,,,,,PP,in,persian,discourse,,
Esther1:16,כל,subs,,,,,,whole,persian,discourse,,
Esther1:16,מדינה,subs,,,,,,district,persian,discourse,,
Esther1:16,ה,art,,,,,,the,persian,discourse,,
Esther1:16,מלך,subs,,,,,,king,persian,discourse,,
Esther1:16,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,persian,discourse,,
Esther1:17,כי,conj,,,xYqX,505323,CP,that,persian,discourse,persian,discourse
Esther1:17,יצא,verb,qal,impf,,,VP,go out,persian,discourse,,
Esther1:17,דבר,subs,,,,,NP,word,persian,discourse,,
Esther1:17,ה,art,,,,,,the,persian,discourse,,
Esther1:17,מלכה,subs,,,,,,queen,persian,discourse,,
Esther1:17,על,prep,,,,,PP,upon,persian,discourse,,
Esther1:17,כל,subs,,,,,,whole,persian,discourse,,
Esther1:17,ה,art,,,,,,the,persian,discourse,,
Esther1:17,אשׁה,subs,,,,,,woman,persian,discourse,,
Esther1:17,ל,prep,,,InfC,505324,VP,to,persian,discourse,persian,discourse
Esther1:17,בזה,verb,hif,infc,,,,despise,persian,discourse,,
Esther1:17,בעל,subs,,,,,NP,"lord, baal",persian,discourse,,
Esther1:17,ב,prep,,,,,PP,in,persian,discourse,,
Esther1:17,עין,subs,,,,,,eye,persian,discourse,,
Esther1:17,ב,prep,,,InfC,505325,VP,in,persian,discourse,persian,discourse
Esther1:17,אמר,verb,qal,infc,,,,say,persian,discourse,,
Esther1:17,ה,art,,,XQtl,505326,NP,the,persian,discourse,persian,discourse
Esther1:17,מלך,subs,,,,,,king,persian,discourse,,
Esther1:17,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,persian,discourse,,
Esther1:17,אמר,verb,qal,perf,,,VP,say,persian,discourse,,
Esther1:17,ל,prep,,,InfC,505327,VP,to,persian,discourse,persian,discourse
Esther1:17,בוא,verb,hif,infc,,,,come,persian,discourse,,
Esther1:17,את,prep,,,,,PP,<object marker>,persian,discourse,,
Esther1:17,ושׁתי,nmpr,,,,,,Vashti,persian,discourse,,
Esther1:17,ה,art,,,,,,the,persian,discourse,,
Esther1:17,מלכה,subs,,,,,,queen,persian,discourse,,
Esther1:17,ל,prep,,,,,PP,to,persian,discourse,,
Esther1:17,פנה,subs,,,,,,face,persian,discourse,,
Esther1:17,ו,conj,,,WxQ0,505328,CP,and,persian,discourse,persian,discourse
Esther1:17,לא,nega,,,,,NegP,not,persian,discourse,,
Esther1:17,בוא,verb,qal,perf,,,VP,come,persian,discourse,,
Esther1:18,ו,conj,,,WxYX,505329,CP,and,persian,discourse,persian,discourse
Esther1:18,ה,art,,,,,NP,the,persian,discourse,,
Esther1:18,יום,subs,,,,,,day,persian,discourse,,
Esther1:18,ה,art,,,,,,the,persian,discourse,,
Esther1:18,זה,prde,,,,,,this,persian,discourse,,
Esther1:18,אמר,verb,qal,impf,,,VP,say,persian,discourse,,
Esther1:18,שׂרה,subs,,,,,NP,mistress,persian,discourse,,
Esther1:18,פרס,nmpr,,,,,,Persia,persian,discourse,,
Esther1:18,ו,conj,,,,,,and,persian,discourse,,
Esther1:18,מדי,nmpr,,,,,,Media,persian,discourse,,
Esther1:18,אשׁר,conj,,,xQt0,505330,CP,<relative>,persian,discourse,persian,discourse
Esther1:18,שׁמע,verb,qal,perf,,,VP,hear,persian,discourse,,
Esther1:18,את,prep,,,,,PP,<object marker>,persian,discourse,,
Esther1:18,דבר,subs,,,,,,word,persian,discourse,,
Esther1:18,ה,art,,,,,,the,persian,discourse,,
Esther1:18,מלכה,subs,,,,,,queen,persian,discourse,,
Esther1:18,ל,prep,,,WxYX,505329,PP,to,persian,discourse,persian,discourse
Esther1:18,כל,subs,,,,,,whole,persian,discourse,,
Esther1:18,שׂר,subs,,,,,,chief,persian,discourse,,
Esther1:18,ה,art,,,,,,the,persian,discourse,,
Esther1:18,מלך,subs,,,,,,king,persian,discourse,,
Esther1:18,ו,conj,,,NmCl,505331,CP,and,persian,discourse,persian,discourse
Esther1:18,כ,prep,,,,,PP,as,persian,discourse,,
Esther1:18,די,subs,,,,,,sufficiency,persian,discourse,,
Esther1:18,בזיון,subs,,,,,NP,contempt,persian,discourse,,
Esther1:18,ו,conj,,,,,,and,persian,discourse,,
Esther1:18,קצף,subs,,,,,,anger,persian,discourse,,
Esther1:19,אם,conj,,,AjCl,505332,CP,if,persian,discourse,persian,discourse
Esther1:19,על,prep,,,,,PP,upon,persian,discourse,,
Esther1:19,ה,art,,,,,,the,persian,discourse,,
Esther1:19,מלך,subs,,,,,,king,persian,discourse,,
Esther1:19,טוב,adjv,,,,,AdjP,good,persian,discourse,,
