book,lex,sp,vs,vt,ctyp,cnode,ptyp,gloss,speaker,ttype,clausespeaker,clausettype
Esther1:22,ל,prep,,,InfC,505348,VP,to,persian,letter,persian,letter
Esther1:22,היה,verb,qal,infc,,,,be,persian,letter,,
Esther1:22,כל,subs,,,,,NP,whole,persian,letter,,
Esther1:22,אישׁ,subs,,,,,,man,persian,letter,,
Esther1:22,שׂרר,verb,qal,ptca,,,VP,rule,persian,letter,,
Esther1:22,ב,prep,,,,,PP,in,persian,letter,,
Esther1:22,בית,subs,,,,,,house,persian,letter,,
Esther1:22,ו,conj,,,Ptcp,505349,CP,and,persian,letter,persian,letter
Esther1:22,דבר,verb,piel,ptca,,,VP,speak,persian,letter,,
Esther1:22,כ,prep,,,,,PP,as,persian,letter,,
Esther1:22,לשׁון,subs,,,,,,tongue,persian,letter,,
Esther1:22,עם,subs,,,,,,people,persian,letter,,
Esther3:13,ו,conj,,,InfA,505503,CP,and,persian,letter,persian,letter
Esther3:13,שׁלח,verb,nif,infa,,,VP,send,persian,letter,,
Esther3:13,ספר,subs,,,,,NP,letter,persian,letter,,
Esther3:13,ב,prep,,,,,PP,in,persian,letter,,
Esther3:13,יד,subs,,,,,,hand,persian,letter,,
Esther3:13,ה,art,,,,,,the,persian,letter,,
Esther3:13,רוץ,verb,qal,ptca,,,,run,persian,letter,,
Esther3:13,אל,prep,,,,,PP,to,persian,letter,,
Esther3:13,כל,subs,,,,,,whole,persian,letter,,
Esther3:13,מדינה,subs,,,,,,district,persian,letter,,
Esther3:13,ה,art,,,,,,the,persian,letter,,
Esther3:13,מלך,subs,,,,,,king,persian,letter,,
Esther3:13,ל,prep,,,InfC,505504,VP,to,persian,letter,persian,letter
Esther3:13,שׁמד,verb,hif,infc,,,,destroy,persian,letter,,
Esther3:13,ל,prep,,,InfC,505505,VP,to,persian,letter,persian,letter
Esther3:13,הרג,verb,qal,infc,,,,kill,persian,letter,,
Esther3:13,ו,conj,,,InfC,505506,CP,and,persian,letter,persian,letter
Esther3:13,ל,prep,,,,,VP,to,persian,letter,,
Esther3:13,אבד,verb,piel,infc,,,,perish,persian,letter,,
Esther3:13,את,prep,,,,,PP,<object marker>,persian,letter,,
Esther3:13,כל,subs,,,,,,whole,persian,letter,,
Esther3:13,ה,art,,,,,,the,persian,letter,,
Esther3:13,יהודי,adjv,,,,,,Jewish,persian,letter,,
Esther3:13,מן,prep,,,,,,from,persian,letter,,
Esther3:13,נער,subs,,,,,,boy,persian,letter,,
Esther3:13,ו,conj,,,,,,and,persian,letter,,
Esther3:13,עד,prep,,,,,,unto,persian,letter,,
Esther3:13,זקן,adjv,,,,,,old,persian,letter,,
Esther3:13,טף,subs,,,,,,<those unable to march>,persian,letter,,
Esther3:13,ו,conj,,,,,,and,persian,letter,,
Esther3:13,אשׁה,subs,,,,,,woman,persian,letter,,
Esther3:13,ב,prep,,,,,PP,in,persian,letter,,
Esther3:13,יום,subs,,,,,,day,persian,letter,,
Esther3:13,אחד,subs,,,,,,one,persian,letter,,
Esther3:13,ב,prep,,,,,PP,in,persian,letter,,
Esther3:13,שׁלשׁ,subs,,,,,,three,persian,letter,,
Esther3:13,עשׂר,subs,,,,,,-teen,persian,letter,,
Esther3:13,ל,prep,,,,,,to,persian,letter,,
Esther3:13,חדשׁ,subs,,,,,,month,persian,letter,,
Esther3:13,שׁנים,subs,,,,,,two,persian,letter,,
Esther3:13,עשׂר,subs,,,,,,-teen,persian,letter,,
Esther3:13,ו,conj,,,InfC,505508,CP,and,persian,letter,persian,letter
Esther3:13,שׁלל,subs,,,XPos,505509,NP,plunder,persian,letter,persian,letter
Esther3:13,ל,prep,,,InfC,505508,VP,to,persian,letter,persian,letter
Esther3:13,בזז,verb,qal,infc,,,,spoil,persian,letter,,
Esther3:13,הוא,prps,,,NmCl,505507,PPrP,he,persian,letter,persian,letter
Esther3:13,חדשׁ,subs,,,,,NP,month,persian,letter,,
Esther3:13,אדר,nmpr,,,,,,Adar,persian,letter,,
Esther6:2,ו,conj,,,WayX,505677,CP,and,persian,letter,persian,letter
Esther6:2,מצא,verb,nif,wayq,,,VP,find,persian,letter,,
Esther6:2,כתב,verb,qal,ptcp,,,NP,write,persian,letter,,
Esther6:2,אשׁר,conj,,,xQtX,505678,CP,<relative>,persian,letter,persian,letter
Esther6:2,נגד,verb,hif,perf,,,VP,report,persian,letter,,
Esther6:2,מרדכי,nmpr,,,,,PrNP,Mordecai,persian,letter,,
Esther6:2,על,prep,,,,,PP,upon,persian,letter,,
Esther6:2,בגתן,nmpr,,,,,,Bigthana,persian,letter,,
Esther6:2,ו,conj,,,,,,and,persian,letter,,
Esther6:2,תרשׁ,nmpr,,,,,,Teresh,persian,letter,,
Esther6:2,שׁנים,subs,,,,,,two,persian,letter,,
Esther6:2,סריס,subs,,,,,,official,persian,letter,,
Esther6:2,ה,art,,,,,,the,persian,letter,,
Esther6:2,מלך,subs,,,,,,king,persian,letter,,
Esther6:2,מן,prep,,,,,,from,persian,letter,,
Esther6:2,שׁמר,verb,qal,ptca,,,,keep,persian,letter,,
Esther6:2,ה,art,,,,,,the,persian,letter,,
Esther6:2,סף,subs,,,,,,threshold,persian,letter,,
Esther6:2,אשׁר,conj,,,xQt0,505679,CP,<relative>,persian,letter,persian,letter
Esther6:2,בקשׁ,verb,piel,perf,,,VP,seek,persian,letter,,
Esther6:2,ל,prep,,,InfC,505680,VP,to,persian,letter,persian,letter
Esther6:2,שׁלח,verb,qal,infc,,,,send,persian,letter,,
Esther6:2,יד,subs,,,,,NP,hand,persian,letter,,
Esther6:2,ב,prep,,,,,PP,in,persian,letter,,
Esther6:2,ה,art,,,,,,the,persian,letter,,
Esther6:2,מלך,subs,,,,,,king,persian,letter,,
Esther6:2,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,persian,letter,,
Esther8:10,ו,conj,,,Way0,505852,CP,and,jew,letter,jew,letter
Esther8:10,כתב,verb,qal,wayq,,,VP,write,jew,letter,,
Esther8:10,ב,prep,,,,,PP,in,jew,letter,,
Esther8:10,שׁם,subs,,,,,,name,jew,letter,,
Esther8:10,ה,art,,,,,,the,jew,letter,,
Esther8:10,מלך,subs,,,,,,king,jew,letter,,
Esther8:10,אחשׁורושׁ,nmpr,,,,,,Ahasuerus,jew,letter,,
Esther8:11,אשׁר,conj,,,xQtX,505856,CP,<relative>,jew,letter,jew,letter
Esther8:11,נתן,verb,qal,perf,,,VP,give,jew,letter,,
