book,lex,sp,vs,vt,ctyp,ptyp,gloss
verse,ו,conj,,,Way0,CP,and
verse,היה,verb,qal,wayq,,VP,be
verse,ב,prep,,,,PP,in
verse,יום,subs,,,,,day
verse,אחשׁורושׁ,nmpr,,,,,Ahasuerus
verse,הוא,prps,,,NmCl,PPrP,he
verse,אחשׁורושׁ,nmpr,,,,PrNP,Ahasuerus
verse,ה,art,,,Ptcp,CP,the
verse,מלך,verb,qal,ptca,,VP,be king
verse,מן,prep,,,,PP,from
verse,הדו,nmpr,,,,,India
verse,ו,conj,,,,,and
verse,עד,prep,,,,,unto
verse,כושׁ,nmpr,,,,,Cush
verse,שׁבע,subs,,,,,seven
verse,ו,conj,,,,,and
verse,עשׂרים,subs,,,,,twenty
verse,ו,conj,,,,,and
verse,מאה,subs,,,,,hundred
verse,מדינה,subs,,,,,district
verse,ב,prep,,,xQt0,PP,in
verse,ה,art,,,,,the
verse,יום,subs,,,,,day
verse,ה,art,,,,,the
verse,הם,prps,,,,,they
verse,כ,prep,,,InfC,VP,as
verse,ישׁב,verb,qal,infc,,,sit
verse,ה,art,,,,NP,the
verse,מלך,subs,,,,,king
verse,אחשׁורושׁ,nmpr,,,,,Ahasuerus
verse,על,prep,,,,PP,upon
verse,כסא,subs,,,,,seat
verse,מלכות,subs,,,,,kingship
verse,אשׁר,conj,,,NmCl,CP,<relative>
verse,ב,prep,,,,PP,in
verse,שׁושׁן,nmpr,,,,,Susa
verse,ה,art,,,,,the
verse,בירה,subs,,,,,citadel
verse,ב,prep,,,xQt0,PP,in
verse,שׁנה,subs,,,,,year
verse,שׁלשׁ,subs,,,,,three
verse,ל,prep,,,InfC,VP,to
verse,מלך,verb,qal,infc,,,be king
verse,עשׂה,verb,qal,perf,xQt0,VP,make
verse,משׁתה,subs,,,,NP,drinking
verse,ל,prep,,,,PP,to
verse,כל,subs,,,,,whole
verse,שׂר,subs,,,,,chief
verse,ו,conj,,,,,and
verse,עבד,subs,,,,,servant
verse,חיל,subs,,,,,power
verse,פרס,nmpr,,,,,Persia
verse,ו,conj,,,,,and
verse,מדי,nmpr,,,,,Media
verse,ה,art,,,,,the
verse,פרתמים,subs,,,,,nobles
verse,ו,conj,,,,,and
verse,שׂר,subs,,,,,chief
verse,ה,art,,,,,the
verse,מדינה,subs,,,,,district
verse,ל,prep,,,,,to
